SENTENCE	SLANG_TERM
You do n't ask for much do you , eh ?	eh
Okay , he 's not joking No , no , no , no , no !	okay
Woody said if I come within five feet of you , he 's gon na kick the shit out of me .	kick the shit out
You disgusting little French fop !	fop
I think I 'm gon na take off .	take off
They 'd make me boss'cause I 'm next in line .	'cause
No , I ai n't got it , but ...	ain't
Shoulda seen your brother , man .	man
Or I 'm going to burn that shit hole of his down , with him still in it .	shit hole
♪ I ai n't got no rules ♪	ain't
Yeah , let 's not be doing the Sweet Romance douches quite yet .	douches
Come on , Unc , let him go , man .	unc
I 'm fine Are you okay ?	okay
He 's turning left at the junction , you take him , yeah .	yeah
He said he missed out cos he was too fast .	cos
Company went through the roof .	through the roof
♪ I wan na know Why they 're gone in the morning ♪	wanna
What the hell 's going on ?	going on
What the hell was I supposed to do ?	what the hell
Do n't be stupid and pass this one up , kid .	kid
I gave you money to get a proper motor , not this piece of shit .	shit
So , without further ado , I want to announce today ... that ...	hears
especially because your moving out here was something I lobbied so hard for .	lobbied
Did you wake up one morning and decide that you 'd hit rock bottom ?	rock bottom
You should 've taught him if he 's gon na play with guns , he should learn how to use one .	gonna
And it 's been , like -- like 20 years .	like
- Oh , he plays a superhero in this one .	superhero
... Found her bed empty and the screen on her window removed .	yes
- Might as well jack him .	jack him
It 's been the best day of my life .	aw
- Pete Hastings , eat your heart out .	eat your heart out
Stand up for the people of America	stand up
Let me hold it , dawg .	dawg
It was our future , and I did n't want to give it to them .	bullshit
I 'm heading up the transition team that 's going to help you , help all of us understand exactly what you 've been through .	head
- Is he lucky I 'm off the market or what ?	off the market
Come on , I got this , man .	got this
Because we 're all gon na meet back here on Monday morning and I 'm going to let the two of you decide .	gonna
- Just give us two minutes , boys .	boys
Well , things are definitely screwed up .	screwed up
Jesus , you 're like a cancer !	cancer
What me and the lads are trying to say , Mr. Cussins , is ... compared to Mr. Revie ... he 's just not good enough .	lads
Hey , hang on a second .	hang on
Maybe if you smelled it , it 'd all come rushing back .	smelled it
I need 200 grand , or I 'm dead .	grand
We meet on an exercise mat at the room 's exact center , she , removing the straps of her heavy clothing in a frenzy of sexual mania while my schoolboy 's uniform is removed with a more controlled and amused deliberation ,	frenzy
Jesus Christ will save your life , lad , if you only let him into your heart !	lad
No follow-up , no exit strategy , it 's a rehab mill .	rehab mill
Guys do it all the time .	guys do it all the time
I did n't get us all the way to the First Division ... so we could sit there mid- table and be cannon fodder for sides like Leeds .	cannon fodder
Look , there 's an attorney in my cigar club .	attorney
I wo n't tell you where they went , but ... get out your pen , ' cause you 're gon na wan na write this down .	gonna wanna
He 's not gon na have one of his meltdowns , is he ?	meltdowns
The man is a rock star .	rock star
You were her excuse for coming here .	excuse
You meet thousands of people , and none of them really touch you .	touch
I ... just saw your mom .	mom
I do n't need this shit from you , Toby .	shit
Maybe before my time maybe .	before my time
You 've got to give them the patter , otherwise they 'll latch on to you .	patter
I think you are watching a few too many movies , zuzu .	zuzu
Well , you know , who 's gon na complain ?	gonna
Home Why I keep returning	infect
Brown nosing or sucker for punishment ?	sucker
We need to discuss this '' mano a mano . ''	mano
And Tm sorry , I did n't wan na stop him .	wanna
My mother passed away a few hours ago .	passed away
It 's gon na take about a minute for the acid to dissipate and your natural morphine to kick in .	kick
You 're gon na make life very difficult for yourself if you do n't , Harvey .	gonna
You kill me here without facing me on the street ... you 'll be known for what you are ...	kill
Nathan , you have n't got ta prove anything , all right ?	gotta
Yeah , well ... everything 's exhausting when you 're past 40 .	yeah
There is a bench right there if you wan na watch .	wanna
- Are your parents gon na get divorced ?	gonna
Well , I was n't expecting you either .	either
You bitch , you 're gon na set me up , are n't you ?	bitch
all right luv , was you i spoke to earlier ?	luv
He can go to hell .	go to hell
`` `` there 's no there , there . '' '' You know ?	thinking
So the stress of it all shows up on our faces , making us look haggard .	haggard
Tall , dark and mysterious or just plain loaded ?	loaded
You got ta learn the one-hitter quitter .	one hitter quitter
You 've been well dipped , buddy .	buddy
Most people here think that they can walk on water .	walk on water
What the fuck is her name ?	uh
getting you back on your feet .	back on your feet
So long as you 're not letting it get to you , Peter , letting it get personal .	get to you
You 'll either never be able to see yourself again , or the world will see what a miserable hag you really are .	hag
The only way we found out about this is because it was tipped to the county sheriff 's office and the police within minutes of it going up .	tipped
Ya 'll lookir double serious with this training and yo ass smokir bitches at Trailer Henge r shit .	bitches
Yeah baby you live here too .	baby
♪ Lady Luck , she is free	lady luck
I 'll pinch some sarnies from the supermarket .	sarnies
I was wondering if you could talk to her and get her to sign these papers .	prenup
My mom is frigging hot .	frigging
I have never done this before , but I 'll talk to the pit boss .	pit boss
I knew him when he was on the dole .	the dole
- I 'm gon na look after my family now .	gonna
Liam and Andy Bell walked in .	kids
Did you just use the L word with Dick ?	the l word
Ma'am , can I ask you a question , and you can tell me to mind me own business , but erm ...	erm
How old were you when you got your cherry popped , Faith ?	cherry popped
If I go 90 on the freeway , I 'll make it .	freeway
Oh , by the way , does French cock taste the same as English ?	cock
- Nobody 's splitting us up , lady .	splitting
Think you got rid of my old man offthat estate ?	old man
What you carrying a shotgun around in your trunk for , dude ?	dude
It was n't exactly a slammer up on the Grand Banks .	slammer
What the hell is goin ' on out there ?	hell
He would n't tell us if he did , 'cause he 's a narcissist .	'cause
- I 'm talking about six Gs here .	blood
I got enough money right here to buy you , your family and a Slurpee .	slurpee
If you are not here on Christmas Eve , you should consider getting a job at Wally 's Whack Shack .	getting a job at wally's whack shack
Excuse me , mate , is there a toilet here ?	mate
- I 'm a fucking Volvo , mate .	mate
- Cos I want you to .	cos
Let me know you 're okay .	okay
You were nicking drinks , but you 've got a yacht ?	nicking
`` survived by his wife of nine years , Judy ,	survived
OK , gently , gently , gently , gently .	ok
I 'm not gon na back out of the franchise deal .	gonna
- A bit draughty on the bum .	bum
You 've got a kid who 's smaller than most .	kid
Q and A 's over , all right ?	q and a
♪ You wan na strap somethin ' else follow me rap ♪	wanna
Well , our motto here is ex corde vita .	ex corde vita
He keeps everything in there , old school .	old school
Oh , my God , I 'm not good with ...	not good
Can you call me back ?	call
Oh c'mon boss , have a bust at this .	have a bust
You 're gon na argue with me over 12 minutes ?	gonna
I already got enough scars , OK , JTRO ?	jtro
He 's like a disabled bloke from home .	bloke
You and Scotty have known each other since birth .	since birth
`` I want to shoot you so bad , my dick 's hard '' ?	dick's hard
I 'm just gon na have a chat with Uncle Pete .	gonna
I smell a remote school .	sick girls
♪ What you gon na do , baby ?	gonna
I thought we 'd try and avoid the A roads , right , and go up the B6255 to Hawes , right , and then cut down through Oughtershaw ,	right
